# 12 + log(O/H) plus err, 12 + log(O/H) minus err , N/O plus err, N/O minus err
2.087944435356607620e-02,1.600050722861443009e-02,1.007235525001056939e-03,7.608616920156244289e-04
nan,nan,nan,nan
1.695516084857344452e-02,1.595833250011366097e-02,2.362079885184579283e-03,2.167116822512916898e-03
1.573111513598839661e-01,1.072263563953902432e-01,7.414067345159865846e-03,6.140919243825588084e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.264315627777214471e-02,1.280887355133139040e-02,1.192557122300076005e-03,1.049556199651212763e-03
2.143408906013952869e-02,1.636555900394184165e-02,6.368469426277046730e-04,6.327202329937219993e-04
nan,nan,nan,nan
1.655717369533053068e-02,1.487868118839613500e-02,1.039065854948528029e-03,1.041359439926091814e-03
9.495208471849347909e-02,7.608305966294220957e-02,2.733749593394369827e-03,2.462120576183939469e-03
1.353794827590272011e-02,1.128111466030508846e-02,5.733283767366163059e-04,4.548064343292160206e-04
1.258246473018566902e-01,7.360794589854915970e-02,1.452820530804741460e-02,8.928206037115915539e-03
2.851541175142176775e-03,3.093142598946893498e-03,6.979975277566392042e-05,7.969430254723356289e-05
8.494392583613874156e-03,7.015862056109934720e-03,1.420487351618739016e-04,1.273554631313250684e-04
7.322761616104794466e-03,8.054488078549245506e-03,2.335350687553206027e-04,2.404596004178672763e-04
1.537012838023510929e-02,1.269556310203419185e-02,6.784964687470342471e-04,6.227330174131651911e-04
7.458686610021198447e-03,6.572689667405233124e-03,4.600183826521935947e-05,3.963068893390932912e-05
1.126483101503866421e-02,9.729048012553313113e-03,4.657751540716615485e-04,4.210470557191186864e-04
4.761713170185586930e-01,1.349009065382134054e-01,8.913527513692269533e-02,2.862768425374923043e-02
2.785432053744455599e-02,1.682788897451783713e-02,5.398697898415102340e-04,4.628490368360691203e-04
1.528375193226973357e-02,1.515618467476884980e-02,4.580740578639596011e-04,4.699352886870855682e-04
1.204756227381182342e-02,1.181010664232594147e-02,3.470229752329460470e-04,3.178550331176645065e-04
2.929505184687032984e-02,2.504629855562831228e-02,1.345889975519458685e-03,1.154354402761107465e-03
2.103354741696514263e-01,1.049371864813289368e-01,3.502731607781690848e-02,1.883566159010669275e-02
4.181250483837753787e-03,4.480803427091705100e-03,8.532857092878205481e-05,9.031104308904217774e-05
6.707402847837334522e-03,7.159042872660187178e-03,1.630451346472897728e-04,1.770726202190119330e-04
3.312571833039364144e-02,3.150916397292224946e-02,1.822931237530746665e-03,1.748170927928799833e-03
1.291203588519540015e-02,1.408768831191613627e-02,9.464059917055671562e-04,8.210404762932097195e-04
8.502139544289508133e-03,8.435667967290170696e-03,1.079136622508512528e-04,1.211641389229210260e-04
7.779653399636032689e-03,7.720082011952768275e-03,3.741536444854051549e-04,3.501767647976374953e-04
6.962704119350960653e-03,7.229100901799461083e-03,1.980913918784331438e-04,1.876895416757814843e-04
2.288733068345562543e-03,2.218078427985396752e-03,2.447906619389649506e-05,2.101202894607606729e-05
1.270016655348592434e-02,1.151966030962674192e-02,5.259677419726463150e-04,4.526820432453309683e-04
1.974333230467420486e-01,8.761508909836392134e-02,5.269393203724542785e-02,2.552370099201430390e-02
8.982596492347498518e-03,7.424389898046593675e-03,8.861048497206007652e-05,8.563026554460139534e-05
6.177819732120460455e-02,3.642345131564535959e-02,7.715835893605358861e-03,4.736819479200020562e-03
1.005650173949390949e-02,1.063982358125694153e-02,7.521341893884534932e-04,8.046493534582856979e-04
1.023403018730400238e-01,6.236305551768595024e-02,4.754751696588227841e-03,3.016609769050883696e-03
8.541286739693634833e-03,1.026224283944456896e-02,1.669713597812970103e-04,1.765906399004243846e-04
2.534291729146803673e-01,9.156719975297143710e-02,1.068516794100531943e-02,4.312368177113271549e-03
2.018949013117810054e-01,1.051404869594461805e-01,3.644778907211615460e-02,2.068608636184406796e-02
1.159835119301209439e-03,1.290945888745868939e-03,1.990693302819216456e-05,2.059544856156773026e-05
2.538051829374710633e-01,1.077025432821455547e-01,5.642478364709170580e-02,2.600660355185613337e-02
