Target,Alt. Name,R.A.,Decl.,z,Z/Z⦿,log M★/M⦿,log SFR/(M⦿/yr),log sSFR,log O_32,Ne[SII] (cm^-3),E(B-V)
J0021+0052,,00 21 01.0296,+00 52 48.08,0.098393,0.30,9.09,1.07,-8.02,0.30,120,0.131
J0036-3333,Haro 11,00 36 52.68,-33 33 17.24,0.020600,0.33,9.14,1.01,-8.13,0.04,10,0.298
J0127-0619,Mrk 996,01 27 35.5110,-06 19 36.06,0.005400,0.10,8.74,-0.75,-9.49,0.04,400,0.298
J0144+0453,UM133,01 44 41.3650,+04 53 25.32,0.005200,0.12,7.65,-0.81,-8.46,0.32,40,0.476
J0337-0502,SBS0335-052 E,03 37 44.061,-05 02 40.19,0.013520,0.06,7.06,-0.32,-7.38,0.79,140,0.044
J0405-3648,,04 05 20.4590,-36 48 59.14,0.002800,0.02,6.61,-1.81,-8.42,-0.22,10,0.053
J0808+3948,,08 08 44.2800,+39 48 52.51,0.091230,1.20,9.12,1.26,-7.86,-0.10,910,0.106
J0823+2806,LARS9,08 23 54.9600,+28 06 21.60,0.047223,0.39,9.38,1.48,-7.90,0.30,140,0.241
J0926+4427,LARS14,09 26 00.4400,+44 27 36.54,0.180667,0.25,8.76,1.03,-7.73,0.49,130,0.104
J0934+5514,I Zw 18 NW,09 34 02.02,+55 14 28.10,0.002500,0.02,6.27,-1.52,-7.79,0.94,120,0.073
J0938+5428,,09 38 13.4900,+54 28 25.09,0.102102,0.36,9.15,1.05,-8.10,0.28,80,0.129
J0940+2935,,09 40 12.8740,+29 35 30.21,0.001675,0.09,6.71,-2.01,-8.72,-0.15,10,0.060
J0942+3547,CG-274 / SB 110,09 42 52.7800,+35 47 25.98,0.014857,0.28,7.56,-0.76,-8.32,0.41,20,0.055
J0944-0038,CGCG007-025 / SB 2,09 44 01.8700,-00 38 32.18,0.004776,0.14,6.83,-0.78,-7.61,0.46,100,0.160
J0944+3442,,09 44 25.8700,+34 42 08.49,0.020046,0.09,8.19,-0.01,-8.20,0.15,70,0.162
J1016+3754,1427-52996-221,10 16 24.4800,+37 54 46.08,0.003879,0.07,6.72,-1.17,-7.89,0.66,40,0.070
