# T[OIII], T[OIII] plus err, T[OIII] minus err, T[OII], T[OII] plus err, T[OII] minus err
1.237829324642674328e+04,2.041878929687354685e+02,2.052502678005075722e+02,1.166480527249871921e+04,1.429315250781146460e+02,1.436751874603542092e+02
nan,nan,nan,nan,nan,nan
1.841974143140251908e+04,3.794850984131262521e+02,3.800016882759155123e+02,1.589381900198176299e+04,2.656395688891880127e+02,2.660011817931408586e+02
2.231683385856808309e+04,1.782427193923231243e+03,2.946563657493461506e+03,1.862178370099765743e+04,1.247699035746263689e+03,2.062594560245423054e+03
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
1.098855146600774788e+04,1.303284535475431767e+02,1.201899250641672552e+02,1.069198602620542260e+04,9.122991748328058748e+01,8.413294754491835192e+01
1.490979413578686217e+04,3.347814822908530914e+02,3.406400951219002309e+02,1.343685589505080316e+04,2.343470376035966183e+02,2.384480665853297978e+02
nan,nan,nan,nan,nan,nan
1.101296190893792300e+04,1.811410859829484252e+02,1.634698600007322966e+02,1.070907333625654428e+04,1.267987601880649891e+02,1.144289020005126076e+02
1.233407674716982001e+04,8.765483241296005872e+02,1.006477859745358728e+03,1.163385372301887401e+04,6.135838268907191377e+02,7.045345018217522011e+02
1.293808847075861559e+04,1.474125694060567184e+02,1.312515446754914592e+02,1.205666192953103018e+04,1.031887985842404305e+02,9.187608127284329385e+01
1.532075787967723772e+04,1.548444727465363030e+03,1.497692223333537186e+03,1.372453051577406586e+04,1.083911309225753939e+03,1.048384556333476212e+03
1.565057582706235735e+04,5.328350235109792266e+01,4.956814202041095996e+01,1.395540307894364923e+04,3.729845164576909156e+01,3.469769941428785387e+01
1.762759061443254177e+04,1.604927692535384267e+02,1.352798142474894121e+02,1.533931343010277851e+04,1.123449384774776263e+02,9.469586997324222466e+01
1.538337190683637709e+04,1.259967872977995285e+02,1.180569562554082950e+02,1.376836033478546415e+04,8.819775110845876043e+01,8.263986937878689787e+01
1.241820420184760951e+04,1.813946498806672025e+02,1.897412924901600491e+02,1.169274294129332520e+04,1.269762549164679513e+02,1.328189047431114886e+02
1.775586835520217210e+04,1.211080521823241725e+02,1.282777407696303271e+02,1.542910784864151901e+04,8.477563652762728452e+01,8.979441853874050139e+01
1.127045499204786393e+04,1.180857517469721643e+02,1.159201018095682230e+02,1.088931849443350438e+04,8.266002622288033308e+01,8.114407126669721038e+01
7.489381337644063024e+03,1.377895390978377691e+03,1.449414771790677150e+03,8.242566936350844117e+03,9.645267736848654749e+02,1.014590340253474096e+03
1.571809887562252516e+04,4.186112875964226987e+02,3.834488287264284736e+02,1.400266921293576706e+04,2.930279013174949796e+02,2.684141801085006591e+02
1.049882455143630068e+04,1.148097346614122216e+02,1.276771407359847217e+02,1.034917718600541048e+04,8.036681426298673614e+01,8.937399851518966898e+01
1.092844488820929291e+04,1.044981827023093501e+02,1.080138364286704018e+02,1.064991142174650486e+04,7.314872789161563560e+01,7.560968550007055455e+01
1.846989343362969157e+04,5.909751580503761943e+02,6.091123710923238832e+02,1.592892540354078301e+04,4.136826106352636998e+02,4.263786597646267182e+02
1.116597566435717636e+04,1.508069449329641429e+03,1.676777666206360664e+03,1.081618296505002399e+04,1.055648614530748091e+03,1.173744366344453738e+03
1.380428575197953433e+04,5.641639465717889834e+01,6.241560643695447652e+01,1.266300002638567275e+04,3.949147626002559264e+01,4.369092450586686027e+01
1.181434619728040707e+04,6.451125977388983301e+01,7.471773859296263254e+01,1.127004233809628386e+04,4.515788184172379260e+01,5.230241701507293328e+01
9.185054068746194389e+03,2.418977473589529836e+02,2.382745473810646217e+02,9.429537848122336072e+03,1.693284231512661790e+02,1.667921831667463266e+02
1.235645484920259514e+04,1.643680661152848188e+02,1.557981955148825364e+02,1.164951839444181678e+04,1.150576462806984637e+02,1.090587368604192307e+02
1.364259164105291529e+04,1.117390080405330082e+02,9.856126430694530427e+01,1.254981414873703943e+04,7.821730562837365142e+01,6.899288501486080349e+01
1.390474092069397011e+04,9.484053696040609793e+01,8.804170383545533696e+01,1.273331864448577835e+04,6.638837587228408665e+01,6.162919268481891777e+01
1.123792018085306700e+04,6.834374898640635365e+01,6.915273396706470521e+01,1.086654412659714581e+04,4.784062429048572085e+01,4.840691377694383846e+01
