# T[OIII], T[OIII] plus err, T[OIII] minus err, T[OII], T[OII] plus err, T[OII] minus err
1.234526072762350304e+04,2.372204117719757051e+02,1.850085872252511763e+02,1.106298325150223536e+04,2.331669107616962719e+02,2.202495378962648829e+02
nan,nan,nan,nan,nan,nan
1.838638244144955752e+04,4.384193106335369521e+02,3.492575459297004272e+02,nan,nan,nan
2.129909479352290509e+04,2.885951521341059561e+03,3.013388574503987911e+03,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
1.098305799573078184e+04,1.407713499995425082e+02,1.379731133740897349e+02,1.023400234904369427e+04,1.931069604180029273e+02,1.410504167794533714e+02
1.489628685960513394e+04,3.878616017541007750e+02,3.558892611514002056e+02,1.119220801964237035e+04,1.377592814821398861e+03,1.133045580435160446e+03
nan,nan,nan,nan,nan,nan
1.100573662072357911e+04,1.832946710070809786e+02,1.518356142455177178e+02,1.104732691953304129e+04,2.616282383358866355e+02,3.337824661764971097e+02
1.215897719662661621e+04,1.085221100941229452e+03,9.658710767297216080e+02,nan,nan,nan
1.293515688201271587e+04,1.503441581519564352e+02,1.408816104636425734e+02,nan,nan,nan
1.532075787967723772e+04,1.554588035775590470e+03,1.447487478029608610e+03,nan,nan,nan
1.565057582706235735e+04,3.905685621838711086e+01,4.956814202041095996e+01,nan,nan,nan
1.765957290459072829e+04,1.446399049899737292e+02,1.593332849952712422e+02,nan,nan,nan
1.538337190683637709e+04,1.259967872977995285e+02,1.202696529369131895e+02,1.105358838784833279e+04,2.789649220359024184e+02,2.782069161266499577e+02
1.245201563221474680e+04,1.475832195135299116e+02,1.959435673855132336e+02,9.996224280831682336e+03,4.505142621568775212e+02,3.794714960947876534e+02
1.775586835520217210e+04,1.049127073351955914e+02,1.282777407696303271e+02,nan,nan,nan
1.127362574774875247e+04,1.207252370816913754e+02,1.250854469622554461e+02,9.722576676066328218e+03,1.610365231488649442e+02,1.854631955068434763e+02
7.535050685396532572e+03,1.416594155580562074e+03,1.587181149543795073e+03,1.081206876165891663e+04,6.560989158797983691e+02,5.557799161900111358e+02
1.571809887562252516e+04,3.999029573698790045e+02,3.776075041824715299e+02,nan,nan,nan
1.051047957048451281e+04,1.175939296681954147e+02,1.436486950612143119e+02,nan,nan,nan
1.093835430555153107e+04,1.045929369070236135e+02,9.869117069601634284e+01,1.150721187285528140e+04,2.038560116847311292e+02,2.258983156119320483e+02
1.850340394019327505e+04,6.874737629457667936e+02,6.439176247967589006e+02,nan,nan,nan
1.102294796247492377e+04,1.500598933103765376e+03,1.804561346041653451e+03,8.301257322528785153e+03,5.087281797031555470e+02,4.042898978892353625e+02
1.380428575197953433e+04,6.898464966809478938e+01,7.486482160508057859e+01,9.844499763431880638e+03,1.008916204936303984e+02,9.986811938715982251e+01
1.179829532280535204e+04,6.971166261736107117e+01,5.960589671305751835e+01,nan,nan,nan
9.185054068746194389e+03,2.713529376064270764e+02,2.557720530235928891e+02,nan,nan,nan
1.236205571578741910e+04,1.748918008496184484e+02,1.779747748129811953e+02,1.328416588101241723e+04,6.710764258281342336e+02,5.368222330002881790e+02
1.364259164105291529e+04,9.927850448966455588e+01,9.242209995222219732e+01,nan,nan,nan
1.388585005298118267e+04,8.837752557932435593e+01,8.156430100164834585e+01,1.543574569437126593e+04,3.180085613971859857e+02,3.215236551639645768e+02
1.123985189810511110e+04,6.641203173436224461e+01,7.108445121910881426e+01,nan,nan,nan
1.812989037812811148e+04,3.289362836321743089e+01,4.922877903377593611e+01,1.388427697297497434e+04,3.704208756916650600e+02,2.956745584644850169e+02
1.358706300866288075e+04,1.672676404305675533e+02,1.467470484632940497e+02,1.095385576157534888e+04,3.966866817848040228e+02,3.900060276397471171e+02
1.054626422851750613e+04,1.381886352733241438e+03,1.445407701374375392e+03,9.973599884705512522e+03,3.127105099709733622e+02,2.894993580799418851e+02
1.866341102030525508e+04,1.613907317778393917e+02,2.186106333935495059e+02,nan,nan,nan
1.123195107007163097e+04,5.734046009913436137e+02,5.957824443795598199e+02,9.610044724693776516e+03,5.910833119093294954e+02,5.272286769117145013e+02
1.510703161717179682e+04,1.859796727889752219e+02,1.634156825773843593e+02,1.282934601382103756e+04,7.214379308027255320e+02,7.070860451835833373e+02
1.780421280958070201e+04,1.282586952728670440e+03,1.267745350984328979e+03,nan,nan,nan
1.328266096372853099e+04,8.453848375176312402e+01,9.596093560452936799e+01,1.347363174959977550e+04,3.949242214669193345e+02,3.254193380540800717e+02
8.257366324848848308e+03,8.365697355064694420e+02,1.275234063173289542e+03,8.629953875957497075e+03,5.156423132563668332e+02,4.367052289546318207e+02
1.069329371467830788e+04,1.280816143798860139e+03,1.466941532375167299e+03,7.888111957377412182e+03,3.103351720384525834e+02,2.614565899085291676e+02
1.636500377110404224e+04,2.226360793034837116e+01,2.963776654597131710e+01,nan,nan,nan
9.434980680924303670e+03,1.229769598837914600e+03,1.299265934532913889e+03,8.544575985028221112e+03,2.853943375466769794e+02,2.699007665833669307e+02
