# mass, sfr, Z, Z_err_up, Z_err_down, log_S_O, log_S_O_err_up, log_S_O_err_down, log_Ar_O, log_Ar_O_err_up, log_Ar_O_err_down, log_Ne_O, log_Ne_O_err_up, log_Ne_O_err_down, log_Fe_O, log_Fe_O_err_up, log_Fe_O_err_down
9.089999999999999858e+00,1.070000000000000062e+00,8.041307870503274557e+00,6.323769751474723512e-03,6.622009337342276390e-03,nan,nan,nan,-2.154035002605548588e+00,9.018334768682266522e-03,8.450343454582794067e-03,-4.639896224219693943e-01,1.222124138213002802e-02,1.130735830999632721e-02,-1.265288979734213060e+00,1.969961051324618795e-02,1.970701869032278133e-02
9.140000000000000568e+00,1.010000000000000009e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.740000000000000213e+00,-7.500000000000000000e-01,7.563517503049943080e+00,nan,3.483843863166955802e-03,nan,nan,nan,-1.925410945798337270e+00,7.738135952818689552e-03,7.862270075036471156e-03,nan,nan,nan,nan,nan,nan
7.650000000000000355e+00,-8.100000000000000533e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.059999999999999609e+00,-3.200000000000000067e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.610000000000000320e+00,-1.810000000000000053e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.119999999999999218e+00,1.260000000000000009e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.380000000000000782e+00,1.479999999999999982e+00,8.136873829962466331e+00,2.932449723467186933e-03,4.766701816457768505e-03,nan,nan,nan,-2.208232913350513638e+00,1.058517016720622074e-02,1.035707105614730276e-02,-4.986572259591058875e-01,6.478716571348248042e-03,6.702667225757464632e-03,-1.140947224435438390e+00,2.569518510212102924e-02,2.908412813362934793e-02
8.759999999999999787e+00,1.030000000000000027e+00,7.911206444136570148e+00,1.449792499716846643e-02,9.095537931853112795e-03,nan,nan,nan,-2.138995788292380684e+00,2.735783187640598163e-02,3.101531351160017116e-02,-4.690990742653239898e-01,1.486890338459209704e-02,1.646803780154330876e-02,-1.164713965594180944e+00,1.216801111996151374e-01,1.259522732300193126e-01
6.269999999999999574e+00,-1.520000000000000018e+00,7.073848070336660854e+00,nan,1.454747175121928185e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.261607601728123251e-01,nan,nan
9.150000000000000355e+00,1.050000000000000044e+00,8.124061178327872668e+00,4.042088492485846479e-03,6.259549790044982229e-03,nan,nan,nan,-2.265804333965046879e+00,1.551731170990405806e-02,1.696040589770467580e-02,-5.783278413088871472e-01,9.346150716285285542e-03,9.878163444045805902e-03,-1.159723733200102691e+00,5.325312704881534492e-02,6.080837327339748410e-02
6.709999999999999964e+00,-2.009999999999999787e+00,8.084466770418590187e+00,nan,2.284270641254504929e-03,-1.951480139496384325e+00,nan,1.053764574584755906e-02,-2.263094664230118624e+00,8.858459083234822284e-02,9.407727334216846315e-02,-5.410552053448687282e-01,2.980961350879215641e-02,2.652980819536997215e-02,-2.341983981725288988e+00,nan,nan
7.559999999999999609e+00,-7.600000000000000089e-01,8.033096838581638366e+00,nan,2.770094359450526057e-03,nan,nan,nan,-2.235506030077957451e+00,1.211295785809045518e-02,1.369314152497648658e-02,-5.859988761379950617e-01,6.254834600511012359e-03,5.506574088132838891e-03,-1.458079948218711452e+00,nan,nan
6.830000000000000071e+00,-7.800000000000000266e-01,7.715489450840941288e+00,nan,4.894527967535503184e-03,nan,nan,nan,-2.029575134200352071e+00,1.085309456043015569e-01,1.168726144863763972e-01,-4.832331333585387911e-01,3.760618015432885125e-02,3.254888162308384320e-02,-2.026241638800330147e+00,nan,nan
8.189999999999999503e+00,-1.000000000000000021e-02,7.819469415640773136e+00,nan,7.261426779156823991e-04,-1.487506376747776304e+00,nan,1.157054141914297830e-03,-2.201258800140420302e+00,3.552182470307826186e-03,3.867896884504503936e-03,-7.695281318606468357e-01,1.888902921889304290e-03,2.070772924737012896e-03,-1.052869702925420814e+00,nan,nan
6.719999999999999751e+00,-1.169999999999999929e+00,7.569039636789272940e+00,nan,3.476856319210699063e-03,-1.798315915154521161e+00,nan,5.869239289050262945e-03,-2.313795658555562795e+00,1.046154381858389708e-02,1.027626614881417370e-02,-7.274139504680831037e-01,7.829435875166101955e-03,6.539081955656592463e-03,-1.071705370588145190e+00,nan,nan
