# mass, mass_err, sfr, sfr_err, Z, Z_err_up, Z_err_down, log_Ne_O, log_Ne_O_err_up, log_Ne_O_err_down
8.380211241711606363e+00,1.302883445709755450e-01,1.389999999999999902e+00,2.299999999999999961e-02,7.989601770459829666e+00,2.103822033816320908e-02,3.112062831688041861e-02,-6.355673396535589381e-01,4.592004813410581476e-02,4.692434956592693440e-02
8.753709660000000170e+00,4.250565700000000224e-01,1.183999999999999941e+00,2.400000000000000050e-02,7.805359630195618514e+00,3.316428606443494465e-02,5.038037249751180918e-02,-6.450049395299825017e-01,4.872581054320347660e-02,5.558658430102144526e-02
9.203433679999999839e+00,4.300962400000000185e-01,1.336000000000000076e+00,2.400000000000000050e-02,7.983853932025310129e+00,2.349628352825207031e-02,3.467599012766964944e-02,-6.040370876705305481e-01,4.415652698549463878e-02,5.118578941649405689e-02
9.154048319999999350e+00,3.052485699999999968e-01,1.125000000000000000e+00,2.599999999999999881e-02,8.057311645248351084e+00,2.448571714188167714e-02,2.602475177589855249e-02,-5.894738222148244722e-01,5.169068636493027308e-02,5.294069298637273102e-02
9.540799570000000784e+00,3.829236799999999885e-01,9.320000000000000506e-01,2.999999999999999889e-02,8.104989590698574276e+00,3.047154653425988152e-02,4.226602075323324104e-02,-6.610960529237571714e-01,5.877310743070071619e-02,5.973191982985525533e-02
1.025604650000000007e+01,4.273378400000000243e-01,1.112999999999999989e+00,1.899999999999999953e-02,8.126985459628457420e+00,1.780442561402861834e-02,1.704499448699980241e-02,-5.069729130737977707e-01,4.154155062502419560e-02,4.119484978357344090e-02
8.835601889999999514e+00,3.568951000000000207e-01,1.141999999999999904e+00,2.500000000000000139e-02,8.162225844492246196e+00,2.683680905590692112e-02,3.101367969292216989e-02,-6.113136960400759046e-01,5.384627358479097264e-02,4.946597205841721939e-02
8.422547229999999274e+00,4.241987600000000080e-01,9.789999999999999813e-01,4.399999999999999745e-02,7.734383994467779466e+00,4.980868304035771660e-02,6.525706900389321996e-02,-7.261239932203297220e-01,7.827503111688717541e-02,8.558693552538472471e-02
1.076157689999999967e+01,4.265095600000000098e-01,1.193999999999999950e+00,2.100000000000000130e-02,7.872551373936869545e+00,1.809292884875454699e-02,2.763825754607742574e-02,-5.392475777189997821e-01,4.514507686089657551e-02,4.279785474578640114e-02
9.133184440000000848e+00,4.279886800000000102e-01,1.479000000000000092e+00,2.500000000000000139e-02,8.219014053558941768e+00,2.355818245404847286e-02,3.705633978646320076e-02,-5.936335759411219826e-01,4.934267741262445689e-02,5.477435599721702797e-02
