# 12 + log(O/H) , log(N/O)
8.148881533909310804e+00,-1.375176659329729434e+00
nan,nan
7.500982752904779893e+00,-8.323977230836031582e-01
nan,nan
nan,nan
nan,nan
nan,nan
8.243508994536416168e+00,-1.101665405910402962e+00
7.959922668866229678e+00,-1.831920543071200447e+00
nan,nan
8.248640961663923576e+00,-1.241660493784496166e+00
7.971058958572977637e+00,-1.732317192802774075e+00
7.986880336020640847e+00,-1.173196766115707668e+00
7.636140694881342839e+00,-9.563590945370414875e-01
7.819469415640773136e+00,-1.139021167063990259e+00
7.544941724991439003e+00,-1.357956586071594529e+00
7.789346144301758201e+00,-1.401885279798717354e+00
8.128211245061210732e+00,-1.389769919545168708e+00
7.541711856778777978e+00,-1.443734269105971357e+00
8.216664980912739225e+00,-1.446196937928829973e+00
9.065855864869668324e+00,-1.036992572839384952e+00
nan,nan
8.282581766971420123e+00,-1.466634598038331960e+00
8.229549526585520525e+00,-1.469284172407974154e+00
7.309801093121007121e+00,-1.395376793506250435e+00
8.204292020429768684e+00,-1.053208037995273960e+00
7.997759756258352226e+00,-1.394873457157664642e+00
8.124379123668319380e+00,-1.490523539718586532e+00
8.416556084074851896e+00,-1.357093849995697044e+00
8.144588404939367976e+00,-1.046948552606522975e+00
7.995718054201661040e+00,-1.643683132663053215e+00
8.008677625185528726e+00,-9.413075121387952660e-01
8.262223008500221511e+00,-1.456982765484980957e+00
7.701595636111932208e+00,-1.168090498958355150e+00
7.983035286450723689e+00,-1.387322067497531508e+00
8.187553094288745115e+00,-8.564166783162483476e-01
7.481929758073976089e+00,-1.421719496054490328e+00
8.202651839011533497e+00,-1.131382205149116915e+00
7.934507137479450023e+00,-1.110115949340037655e+00
nan,nan
8.054126514544917015e+00,-1.355478963661285619e+00
8.716155006048365905e+00,-1.451948067296471967e+00
8.282489363533153792e+00,-1.056430625134557211e+00
7.733720595254881758e+00,-1.413279412663444701e+00
8.420107957785164743e+00,-9.532981328777504482e-01
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
