# NII, NII_err, SII, SII_err, OI, OI_err, OIII, OIII_err
-1.230330903935037634e+00,4.849895874368350193e-03,-9.854845030992501753e-01,4.689701080541968173e-03,-1.794573630260955177e+00,2.232265763490028435e-02,6.799027820571903469e-01,7.022570213990649533e-03
-7.605297458876383310e-01,1.662404180819016257e-04,-7.497188910888661351e-01,2.118884053053459544e-04,-1.646182549185514432e+00,6.020058561405972931e-04,4.774345487474744298e-01,2.066528758534567770e-04
-1.188190997373621327e+00,1.173624226169469285e-02,-9.840726729493887159e-01,4.955999478288041112e-03,-1.987938793880251520e+00,1.611451606061411676e-02,5.376678983628923048e-01,3.645169671013554370e-03
-2.093639006327063790e+00,2.541376609800726771e-01,-1.133974692864999856e+00,4.518465830559796614e-02,-2.069768742545210927e+00,2.079007236973913486e-01,7.015256205456029681e-01,1.845129011218765436e-01
-2.303663056788221031e+00,1.629824103026831410e-03,-1.796625165957153936e+00,8.274962704472182701e-04,-2.502349590065804819e+00,2.694436502900711666e-03,5.355782414136669445e-01,2.611083956824239135e-04
-1.653562849640062504e+00,5.759674084545544394e-03,-1.031866825791619480e+00,2.290006478647483874e-03,-1.888808903595816435e+00,1.051145472299295711e-02,1.814939919051290762e-01,1.705698858528329007e-03
-2.133059781833365753e-01,7.240622797128730154e-04,-8.632314823423646866e-01,1.938857966717863089e-03,nan,nan,nan,nan
-9.838547985833329124e-01,4.386269070304156525e-03,-9.346192929936033567e-01,4.128067456127576702e-03,-1.837553776484152968e+00,1.158872982945551543e-02,6.297497723207392539e-01,4.032408694679951063e-03
-1.826683299281468553e+00,5.515521084963981302e-02,-1.003495846445369599e+00,1.460704964611220062e-02,-1.770979308575995059e+00,4.030017085857125897e-02,7.523759489582357851e-01,9.719858273935746973e-03
nan,nan,nan,nan,nan,nan,3.129787079407622130e-01,1.090319907199254488e-03
-1.107131189584894315e+00,7.509480811214710658e-03,-9.055181894917732066e-01,6.216689769127133579e-03,-1.712267275719733250e+00,1.614364725128305048e-02,6.437488024930997366e-01,4.611556175231829209e-03
-1.611543970701063699e+00,1.472058244522388669e-02,-9.707968801276326554e-01,5.978262058596443482e-03,-2.009107981074453875e+00,3.218009453657450641e-02,3.468405015917963574e-01,5.399582217667066655e-03
-1.428630761022881668e+00,4.231072736826435587e-03,-1.031244612944885342e+00,3.301588194736710530e-03,-2.022653522978353102e+00,1.121029566937216393e-02,6.840478199551197624e-01,2.802085983622969265e-03
-1.181412677577664772e+00,1.207556630568873933e-02,-6.166746202381280240e-01,7.863657434067947843e-03,-1.467180295847355875e+00,2.328755177458078848e-02,4.313705187693512300e-01,7.451633443455774747e-03
-1.734981418931166086e+00,9.064196580306663024e-04,-1.224723031983681709e+00,4.533987991734721211e-04,-2.172238960704132804e+00,3.414358690200004938e-03,7.847140691579262972e-01,5.393237638658162757e-04
-2.093523443492044667e+00,8.933012753322196881e-03,-1.535726805173373677e+00,4.635869795787195616e-03,-2.388634967647029761e+00,1.615265744976361259e-02,6.239696714453605297e-01,3.169828016765813966e-03
-1.700840965396538618e+00,5.531269278970933276e-03,-1.177399691868762366e+00,3.480808196585858869e-03,-2.023439487531612180e+00,9.620657065186518850e-03,6.709812807698216641e-01,2.675018123345111829e-03
-1.340802179818015416e+00,1.209796691982844771e-02,-9.923492591242333294e-01,8.426175124422832438e-03,-1.766198973266444483e+00,2.079368861829471518e-02,7.104290825298635870e-01,5.218681828835190772e-03
-2.446635683304632547e+00,1.754220312835119916e-03,-1.824507747984468686e+00,1.338828152379757056e-03,-2.552958956637371823e+00,1.832381428097074397e-02,6.715955732149432311e-01,2.529995987216814533e-03
-1.339038214405315230e+00,5.655420508217558727e-03,-9.735329362222641114e-01,4.251651478456866529e-03,-1.858580980942151184e+00,1.089310615481844241e-02,6.453862889240030709e-01,3.991753614347613374e-03
-4.358970442688475111e-01,5.905740574378531317e-03,-8.079159738491811238e-01,9.654881013852697341e-03,-1.692144454099992590e+00,2.266927671592609828e-02,2.655179446587624392e-01,7.732734981427753958e-03
-2.045060341394578263e+00,1.949849905506593692e-02,-1.320531045823603922e+00,6.739024202506957092e-03,-2.147498839823292816e+00,2.644624525412654636e-02,4.661970736202601939e-01,3.881378064335346077e-03
-1.410588480404725287e+00,3.410893295151892421e-03,-1.059469100381559947e+00,2.670875373458523726e-03,-2.067848226851478177e+00,8.646695712492527899e-03,6.307456063208295438e-01,2.428688544368899811e-03
-1.478289662971126406e+00,3.590470839226562929e-03,-1.078345643935388232e+00,3.156908434612615364e-03,-1.941709333384034508e+00,6.906772866532576854e-03,6.612147728100823407e-01,4.368316228528650556e-03
