# NII, NII_err, SII, SII_err, OI, OI_err, OIII, OIII_err
-1.415623648354256803e+00,4.214145461183649299e-02,-1.216419277361413087e+00,nan,-2.301902719099605754e+00,nan,7.727093036409724558e-01,3.182324044147437359e-02
-1.386248348790007690e+00,7.143937037840186743e-02,-1.622277585826370716e+00,nan,-2.283035995910709381e+00,nan,7.853119070767731191e-01,4.791828451418791990e-02
-1.272778152336763169e+00,6.568495431249589400e-02,-1.041855866418528009e+00,3.953149913372348140e-02,-2.585543801233696204e+00,nan,7.463335179486730864e-01,3.353457093459907140e-02
-1.032531393319197299e+00,5.341923733948109737e-02,-8.950042904839041746e-01,4.060586286066237421e-02,-1.612638554438655003e+00,8.751150663083649694e-02,5.666904704804112125e-01,3.664236077629259153e-02
-1.230799693464240896e+00,4.324095648657506202e-02,-9.063429385985627418e-01,3.399422793118019037e-02,-1.670168764988320342e+00,6.264014004218416976e-02,7.007958221467295301e-01,4.185405337817674210e-02
-6.359070040268787194e-01,2.505320419634470344e-02,-7.325635173435225411e-01,2.611626127915240431e-02,-1.448974088619183309e+00,5.057580593545221020e-02,4.767648489414675894e-01,2.651137391035804716e-02
-1.202625496854304421e+00,3.733155403478240902e-02,-9.396406595607960099e-01,4.244245861852966734e-02,-1.718182115434152779e+00,9.016332665723418571e-02,7.110840065930539300e-01,3.461800339181428376e-02
-1.612406058005254161e+00,1.204027219546266320e-01,-1.537467377460749018e+00,nan,-2.587886541297394150e+00,nan,7.855391454805621398e-01,6.215529240856590421e-02
-1.805693346264409360e+00,nan,-1.310660216347450113e+00,nan,-2.217319264866921547e+00,nan,7.520230875462924347e-01,2.922986916244977099e-02
-1.202520513798857271e+00,6.540019792360116102e-02,-1.083574248877589685e+00,5.276146716485223542e-02,-2.505207427059956693e+00,nan,7.325497001386852558e-01,3.499597700684228124e-02
-1.151665933545269027e+00,nan,-9.021569439418114511e-01,5.289197178490235435e-02,-1.979019488053113340e+00,nan,7.321832002304687892e-01,4.728551834166992013e-02
-1.690840491852585670e+00,6.413716453185935862e-02,-1.359620612188687572e+00,nan,-2.507742813578837993e+00,nan,8.081134137991003996e-01,4.463131712943665258e-02
-1.270237316425742780e+00,7.576815528024635760e-02,-8.839127424801377364e-01,4.983559795485428129e-02,-2.074292845900127524e+00,nan,6.988911125697196969e-01,4.255624967044367712e-02
-1.289665211444446236e+00,8.817331395184088705e-02,-1.073230439446894113e+00,nan,-2.163787027173595057e+00,1.216185459531574226e-01,7.519617443918308330e-01,5.530074081025633526e-02
-1.372307088849995083e+00,5.606988679267879694e-02,-1.067885961853178856e+00,4.886179008534829310e-02,-1.969018090379443642e+00,nan,7.576397913969451503e-01,3.379501464318664106e-02
-1.065302288806232678e+00,nan,-1.736219599805527425e+00,nan,-2.262222123989180211e+00,nan,8.153901089736284025e-01,3.438349525724507944e-02
-1.212095876161604080e+00,2.397830768962197490e-02,-1.043478677790327103e+00,2.098238872804083013e-02,-1.798230135156438925e+00,3.128416000444761425e-02,7.174126531235540671e-01,2.398172438038856380e-02
-1.314019875901225154e+00,2.273191215343604507e-02,-9.959023143770738828e-01,2.377840260242253950e-02,-1.718590998255375535e+00,3.483589686539666913e-02,7.773508371868889100e-01,2.321806873692149401e-02
-1.309794850572101987e+00,2.908710863616991923e-02,-1.062288510271958364e+00,3.431271611074473288e-02,-1.799720213388610546e+00,3.863856412378968014e-02,7.990836806322618724e-01,3.862826761802974629e-02
-1.403030008858474842e+00,3.829083883472627486e-02,-9.938724606055735489e-01,3.127467471695961204e-02,-1.699933315060762951e+00,7.380158037896000778e-02,7.811444059453888089e-01,3.266162560168515971e-02
-1.263213123433042817e+00,3.628739889240246291e-02,-9.974552809507299944e-01,3.440106876244955481e-02,-1.845393988652910267e+00,1.080535530461239208e-01,7.376356944921929060e-01,3.206660270313546612e-02
-1.573826545365252461e+00,6.314148893654519812e-02,-1.349656828397607367e+00,3.562503607003399825e-02,-1.878320841982041856e+00,6.386115040354220507e-02,8.764951307112954781e-01,3.283615954188881525e-02
-1.081867252696877557e+00,3.046541141933819391e-02,-8.591608398733918683e-01,2.987974387453292899e-02,-1.495109468547462406e+00,4.119078597520831747e-02,6.290941255104727237e-01,2.793146966972832532e-02
-1.003361257957855024e+00,3.153762685298305141e-02,-9.897817147379004421e-01,2.702012936267365537e-02,-1.841842191316494182e+00,6.429904796635746433e-02,6.395473577396552090e-01,2.959636874562177750e-02
-1.314049412027207042e+00,3.756209956059400334e-02,-9.606359755035260850e-01,3.241431005818927458e-02,-1.794462688866405475e+00,7.973006694768622338e-02,7.285429292484114638e-01,3.448136479032068435e-02
-1.356577412837413732e+00,7.106871492886238095e-02,-1.230435971688716101e+00,nan,-1.726173273974539901e+00,8.516181815265981558e-02,8.421760962872804068e-01,6.102375859251887857e-02
-1.279678183858870666e+00,7.991587144737020976e-02,-1.687646545902713235e+00,nan,-2.249591521996323173e+00,nan,7.684639850633417923e-01,7.282452576294184965e-02
