# 12 + log(O/H), 12 + log(O/H) plus err, 12 + log(O/H) minus err, log(N/O), log(N/O) plus err, log(N/O) minus err
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
7.982299373964711897e+00,7.670766545593829533e-02,5.258564196811515989e-02,-1.725179023622301244e+00,1.145589506060769175e-01,8.650403818556058611e-02
nan,nan,nan,nan,nan,nan
8.109216688010281615e+00,6.557666989402181901e-02,5.480407987299697192e-02,-1.708674977956635033e+00,9.227088628689281147e-02,7.931006637437576501e-02
8.137792009446716435e+00,8.071853644979939957e-02,5.764942760282977530e-02,-1.133341866328961167e+00,1.105232095901398232e-01,8.165174273439997077e-02
8.167018504675318979e+00,1.058604756246386558e-01,6.563630963676571339e-02,-1.726458774470495783e+00,1.288898352917169365e-01,8.804897294075991754e-02
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
8.220694348555708686e+00,1.088611366579708556e-01,6.811538246082968207e-02,-1.746009913826766624e+00,1.537200731256548047e-01,1.067412116658107285e-01
8.094854683900450709e+00,1.367958319821108437e-01,8.435494654327499453e-02,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
7.968401752238706059e+00,7.395724135722712977e-02,4.879266466788960421e-02,-1.837247469952385748e+00,1.121786758321214744e-01,8.151249816252754965e-02
nan,nan,nan,nan,nan,nan
8.127765593902317676e+00,3.654301150380798169e-02,3.166505081328463422e-02,-1.704115642345281900e+00,4.884809333000329074e-02,4.625189893181270995e-02
8.156331026779449545e+00,3.480831278037816584e-02,2.880550474934557778e-02,-1.860650200889171879e+00,4.618753194274938939e-02,4.283682277407859645e-02
8.067012078930030583e+00,5.960757407057369617e-02,4.902431161699826595e-02,-1.824675900919279670e+00,7.546697465735330290e-02,6.437151749636443876e-02
8.147117578636073887e+00,6.449825182532847867e-02,5.044599850033349570e-02,-1.950630191885068587e+00,8.591959565202082760e-02,7.189957771437296974e-02
8.243599493941610845e+00,6.109157409819992307e-02,5.273223651599898837e-02,-1.829567262334551581e+00,8.277389783033907433e-02,6.994646226388052945e-02
8.043267233897720914e+00,5.977152340446084677e-02,4.619962470912517688e-02,-2.093217089074721482e+00,9.368290601458430233e-02,8.672822990734392612e-02
8.174580660130420284e+00,1.022313825563819778e-01,6.268918488098332298e-02,-1.600044821194903877e+00,1.329455682641194070e-01,8.604516987090529700e-02
nan,nan,nan,nan,nan,nan
8.104001215796699853e+00,8.456878190834134223e-02,5.950854691946348696e-02,-1.824355730653766772e+00,1.085163841981968552e-01,8.406217640577084982e-02
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
