# T[OIII], T[OIII] plus err, T[OIII] minus err, T[OII], T[OII] plus err, T[OII] minus err
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
1.384814527762418220e+04,8.563217702423680748e+02,9.305619943499041256e+02,1.269370169433692718e+04,5.994252391696554696e+02,6.513933960449339793e+02
nan,nan,nan,nan,nan,nan
1.202773083295530523e+04,6.839607771570736077e+02,6.030059646224817698e+02,1.141941158306871148e+04,4.787725440099529806e+02,4.221041752357359655e+02
1.181434619728040707e+04,8.769411960446759622e+02,8.462096946477613528e+02,1.127004233809628386e+04,6.138588372312733554e+02,5.923467862534325832e+02
1.183578133588643504e+04,8.565375407007959438e+02,9.862892869492443424e+02,1.128504693512050471e+04,5.995762784905564331e+02,6.904025008644730406e+02
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
1.135761700713122082e+04,8.590651799134648172e+02,9.299170218773324450e+02,1.095033190499185366e+04,6.013456259394260996e+02,6.509419153141316201e+02
1.310893668770727891e+04,1.270002403938606221e+03,1.501559389194735559e+03,1.217625568139509414e+04,8.890016827570252644e+02,1.051091572436314891e+03
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
1.409187585594678967e+04,8.788527494196532643e+02,8.692719899952080596e+02,1.286431309916275313e+04,6.151969245937561936e+02,6.084903929966458236e+02
nan,nan,nan,nan,nan,nan
1.195437165980321151e+04,3.462139009276324941e+02,3.427843443275469326e+02,1.136806016186224770e+04,2.423497306493427459e+02,2.399490410292837623e+02
1.227274571715674756e+04,3.211446445102283178e+02,3.183740573535360454e+02,1.159092200200972366e+04,2.248012511571596406e+02,2.228618401474759594e+02
1.327934078529423095e+04,5.688044923299512448e+02,6.511606470948972856e+02,1.229553854970596149e+04,3.981631446309656894e+02,4.558124529664291913e+02
1.247460771446322542e+04,6.405768464426600985e+02,6.763123916578733770e+02,1.173222540012425634e+04,4.484037925098637061e+02,4.734186741605099087e+02
1.122686233833986262e+04,5.481299546350619494e+02,5.214472838503461389e+02,1.085880363683790347e+04,3.836909682445420913e+02,3.650130986952426611e+02
1.384814527762418220e+04,5.830174663419475110e+02,6.015512270388680918e+02,1.269370169433692718e+04,4.081122264393634396e+02,4.210858589272083918e+02
1.164425671925462666e+04,8.813331615196711937e+02,1.006546164888392013e+03,1.115097970347823866e+04,6.169332130637685623e+02,7.045823154218742275e+02
nan,nan,nan,nan,nan,nan
1.250857271642637897e+04,8.356310194304205652e+02,8.167273718443539110e+02,1.175600090149846437e+04,5.849417136012943956e+02,5.717091602910477377e+02
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
