galaxy,Z,Z_err_up,Z_err_down,Ne,Ne_err_up,Ne_err_down,O32,O32_err
J0925+1403 ,7.98960177045983,0.0210953273925347,0.0361791050307406,-0.6355673396535589,0.0375437234630161,0.0547077400146443,0.6898081297194096,0.03221594749437508
J003601+003307,7.805359630195618,0.0376583094788191,0.0496223539267971,-0.6450049395299825,0.0548201588662604,0.0515237970905887,0.9919492918113285,0.04739997112777125
J004743+015440,7.98385393202531,0.0216251150979099,0.029456095564618,-0.6040370876705305,0.044543966591644,0.0402657352198903,0.5321505524789862,0.02982587188639785
J012910+145935,8.057311645248351,0.022988074771457,0.0254925114199939,-0.5894738222148245,0.0565954535192684,0.0561573901398379,0.21580696594639256,0.03494959929805045
J072326+414608,8.104989590698574,0.0327672623812622,0.0380477233299405,-0.6610960529237572,0.0579964749870685,0.0562502738997863,0.5260415960485234,0.038706225880115665
J091207+523960,8.126985459628457,0.0169764214099521,0.0146043339716211,-0.5069729130737978,0.0463437472471666,0.0426240557680033,-0.04209252588761157,0.024185353953199453
J091208+505009,8.162225844492246,0.0286030709287911,0.0303202136887997,-0.6113136960400759,0.05348167743067,0.0494619283048946,0.47210808575082003,0.03254344049497985
J093355+510925,7.7343839944677795,0.0487039390769964,0.0672395811553934,-0.7261239932203297,0.0837508073174912,0.0790791558977273,1.1362093805932856,0.05789359465709818
J095838+202508,7.872551373936869,0.0197483586143097,0.0260001296577135,-0.5392475777189998,0.041684868846908,0.0394603274151547,0.7869754377621021,0.03303508948405477
J103344+635317,8.219014053558942,0.0239012415458294,0.0305906700899863,-0.593633575941122,0.0482520361453097,0.0506060978651024,0.535016911080832,0.03331601071650753
J110452+475204,8.073659213786208,0.0315335125629139,0.0389116318783712,-0.5512353195422806,0.0614029025434324,0.0594365241576458,0.36881276326579215,0.04177640820504799
J112224+412052,7.763469537089206,0.0375135101604564,0.0464389934907834,-0.6874247725576568,0.0538763451756249,0.0498707172821545,0.9083840839960177,0.043496521148641915
J112848+524509,7.870113250854055,0.0313564712953767,0.0334678614231615,-0.516541639149465,0.06077640225732,0.0630118992351682,0.27313697467076825,0.03924234417085539
J112933+493525,8.06660747959901,0.0378689035207379,0.0509262813665884,-0.6270523982411098,0.0788238252011257,0.0722907000905919,0.5288355991466083,0.0497137707620538
J113304+651341,7.965651830578386,0.0233943836938001,0.0344449206326574,-0.633900703643394,0.0489035574515244,0.0508889733796601,0.5741077459319438,0.03069205117831328
J115959+382422,7.810907761106925,0.0263590057320771,0.0443415748866478,-0.6054656394349145,0.0476116063010367,0.0550215119514134,0.9230363953377725,0.0341107828954476
J120934+305326,8.125181942798275,0.0180304979416253,0.025826105957812,-0.6128988593763135,0.0370309324659798,0.0378022546444369,0.5619148619059412,0.023427063651074755
J124423+021540,8.157278321135617,0.0185759597562086,0.0235992353123065,-0.6074324184534554,0.0351516220082614,0.0327692693443852,0.5604621692759775,0.021150139691216024
J124619+444902,8.06377782138581,0.0275778820313816,0.0350302761988624,-0.6223782080060766,0.0448453477135697,0.0445344174600398,0.5904417484098015,0.03691823530867617
J124835+123403,8.149083555636452,0.0216838581443254,0.030263017700834,-0.6126031325636079,0.0443616713282486,0.0461731419674213,0.5387900931990691,0.029914421543634707
J132633+421824,8.241881392170393,0.0202184395150084,0.0335877391806921,-0.5658698287930793,0.0443073876825579,0.0432846629710711,0.503155756855967,0.0289818628046153
J141013+434435,8.045826659876345,0.0261047872761609,0.0348792673294752,-0.6604941037803905,0.0416614675059176,0.0443010076312526,0.9528502484747473,0.0326361564425221
J144010+461937,8.179180541288414,0.01942738049113,0.0229595933791067,-0.5289822445090397,0.0418826712034993,0.0408651980106511,0.2569431285521811,0.025583463919232403
J151707+370512,8.333983068082867,0.0180653782086044,0.0262540749245433,-0.5672625413460438,0.0406644473158915,0.043193181914011,0.37772942627376144,0.026802785828395816
J155945+403325,8.10381822360257,0.0216961358834274,0.0306360096669339,-0.607201134112829,0.048789667934448,0.045657867163363,0.4824078766947501,0.03187806071454868
J160437+081959,8.11937758940784,0.0462053349031298,0.0660324010288163,-0.6685909165097933,0.0856399386076832,0.0809718464535371,0.7469335423571404,0.05685101472644146
J164607+313054,8.074762931091932,0.0475609707084136,0.077835979570469,-0.6151143048224716,0.0825282202208865,0.0924875530211757,0.6038209550387901,0.06781909053209319
