galaxy,Z,Z_err_up,Z_err_down,Ne,Ne_err_up,Ne_err_down,O32,O32_err,ion_param,ion_param_err_up,ion_param_err_down
J0925+1403 ,7.994556659674417,0.0249658172176355,0.0352716015699261,-0.6423311029617982,0.0510618206956856,0.0450315113019096,0.6898081297194096,0.03221594749437508,0.8181465463038724,0.0160865830083966,0.0150805128679121
J003601+003307,7.768140324519944,0.0301325917789475,0.0363469692299824,-0.630711806969534,0.0494373907932894,0.0457082767990877,0.9919492918113285,0.04739997112777125,0.8964204804799648,0.0104389445861827,0.0093065136078661
J004743+015440,7.966128835459776,0.0241851781110789,0.0362013587723603,-0.6067856177255257,0.0461520810318654,0.0471407063062193,0.5321505524789862,0.02982587188639785,0.7524830887217279,0.0179509084228503,0.0205100378853994
J012910+145935,8.05013155763104,0.0216294896502696,0.0295012849691965,-0.5879937910521353,0.0541168260654634,0.0533581739250171,0.21580696594639256,0.03494959929805045,0.5992421146999081,0.02413072655367,0.0281167577242961
J072326+414608,8.088575696808734,0.026919904489485,0.0372682924277565,-0.6647603506745913,0.0557755479691601,0.0577710515259726,0.5260415960485234,0.038706225880115665,0.750630411080283,0.0230321058163704,0.0231684072013979
J091207+523960,8.154130860286836,0.0176671488484085,0.0136852391432471,-0.5072480896328501,0.0454809462374236,0.0375404282318455,-0.04209252588761157,0.024185353953199453,0.4709127763389659,0.0206244028350605,0.0169731237213955
J091208+505009,8.163712023347976,0.0247027642134525,0.0331098200030325,-0.6217183116890034,0.0470762656860221,0.0469468272762562,0.47210808575082003,0.03254344049497985,0.7207609914070572,0.0206625566196596,0.0212353437711722
J095838+202508,7.87058948213088,0.0214119136428011,0.0223082777086785,-0.548673989129278,0.0441748717338834,0.0480072415011194,0.7869754377621021,0.03303508948405477,0.7423272629470272,0.0183256447233344,0.01817594363444
J103344+635317,8.228228284016229,0.0246087240039807,0.0349386071972398,-0.6416198095947995,0.0502286512866085,0.0506657944900786,0.535016911080832,0.03331601071650753,0.7628883064022441,0.0188637090781444,0.0196554231173715
J110452+475204,8.06412349734974,0.0297785397175283,0.0478949586022961,-0.5565604676421501,0.064983796269688,0.0734012855916108,0.36881276326579215,0.04177640820504799,0.6802937920967231,0.0289309647935211,0.032180301625964
J112224+412052,7.769797166404502,0.0325078483377958,0.0325598078506236,-0.6880921425043571,0.0533849234848034,0.0415349462638813,0.9083840839960177,0.043496521148641915,0.883601769673789,0.011526271384492,0.009457925352143
