galaxy,mass,mass_err,sfr,sfr_err,T_e_o_iii,T_e_s_iii,T_e_o_ii,Z,Z_err_up,Z_err_down,log_Ne_O,log_Ne_O_err_up,log_Ne_O_err_down,ion_param,ion_param_err_up,ion_param_err_down
J0925+1403 ,8.380211241711606,0.13028834457097555,1.39,0.023,13679.73674913785,13054.181501784415,12575.815724396494,7.994556659674417,0.024965817217635508,0.03527160156992612,-0.6423311029617982,0.05106182069568561,0.04503151130190963,0.8181465463038724,0.016086583008396618,0.015080512867912128
J003601+003307,8.75370966,0.42505657,1.184,0.024,16041.924501562851,15014.797336297166,14229.347151093994,7.768140324519944,0.030132591778947577,0.03634696922998247,-0.630711806969534,0.04943739079328943,0.0457082767990877,0.8964204804799648,0.010438944586182757,0.009306513607866109
J004743+015440,9.20343368,0.43009624,1.336,0.024,13974.227578560507,13298.60889020522,12781.959304992355,7.966128835459776,0.024185178111078957,0.03620135877236031,-0.6067856177255257,0.04615208103186547,0.047140706306219395,0.7524830887217279,0.017950908422850374,0.020510037885399436
J012910+145935,9.15404832,0.30524857,1.125,0.026,12261.819039690037,11877.309802942731,11583.273327783025,8.05013155763104,0.02162948965026969,0.029501284969196517,-0.5879937910521353,0.054116826065463454,0.05335817392501713,0.5992421146999081,0.024130726553670007,0.028116757724296164
J072326+414608,9.54079957,0.38292368,0.932,0.03,12189.413194087507,11817.21295109263,11532.589235861255,8.088575696808734,0.02691990448948501,0.03726829242775651,-0.6647603506745913,0.05577554796916012,0.05777105152597262,0.750630411080283,0.023032105816370493,0.023168407201397935
J091207+523960,10.2560465,0.42733784,1.113,0.019,11670.67088060627,11386.656830903205,11169.469616424389,8.154130860286836,0.01766714884840853,0.013685239143247152,-0.5072480896328501,0.045480946237423665,0.037540428231845585,0.4709127763389659,0.020624402835060555,0.01697312372139552
J091208+505009,8.83560189,0.3568951,1.142,0.025,11825.058909682957,11514.798895036854,11277.54123677807,8.163712023347976,0.024702764213452588,0.03310982000303254,-0.6217183116890034,0.047076265686022176,0.04694682727625627,0.7207609914070572,0.02066255661965962,0.021235343771172262
J095838+202508,10.7615769,0.42650956,0.979,0.044,15467.255517028703,14537.822079133823,13827.078861920092,7.87058948213088,0.021411913642801105,0.022308277708678555,-0.548673989129278,0.04417487173388347,0.04800724150111943,0.7423272629470272,0.018325644723334495,0.018175943634440018
J103344+635317,9.13318444,0.42798868,1.194,0.021,11301.671218188354,11080.387111096334,10911.169852731848,8.228228284016229,0.024608724003980797,0.034938607197239825,-0.6416198095947995,0.050228651286608555,0.05066579449007868,0.7628883064022441,0.018863709078144435,0.019655423117371593
J110452+475204,8.28900037,0.41854343,1.479,0.025,13246.594050585314,12694.67306198581,12272.615835409719,8.06412349734974,0.02977853971752834,0.04789495860229616,-0.5565604676421501,0.06498379626968807,0.07340128559161081,0.6802937920967231,0.028930964793521193,0.03218030162596405
J112224+412052,8.28199627,0.42282651,0.68,0.035,16861.863612637975,15695.346798489518,14803.304528846582,7.769797166404502,0.03250784833779584,0.032559807850623686,-0.6880921425043571,0.05338492348480347,0.0415349462638813,0.883601769673789,0.011526271384492087,0.009457925352143083
J112848+524509,9.17528016,0.42947418,0.931,0.023,16195.31796006577,15142.113906854587,14336.722572046037,7.83823141167258,0.029569608843573788,0.034321701059059254,-0.5073785561584921,0.060768349749647586,0.06391935544864007,0.6100304060272845,0.03232721542851392,0.03094749169151641
J112933+493525,8.3563814,0.41102363,0.928,0.031,12806.836926083124,12329.674648648992,11964.785848258187,8.099338782592326,0.03812640636783824,0.047782281934738643,-0.6477203679823829,0.06868874720971857,0.08015664121222277,0.7638065243666174,0.02812409479346924,0.02796669091075268
J113304+651341,9.64675776,0.3825623,0.704,0.04,14171.927530970173,13462.699850705243,12920.34927167912,7.956488575213667,0.02152231820229345,0.03118008597909046,-0.6396193753309323,0.046250198366562356,0.047015323844290226,0.7700921675970795,0.017938535663980314,0.01710662582422878
J115959+382422,8.25285602,0.42275056,0.91,0.024,16335.366004558071,15258.3537837832,14434.75620319065,7.814133402349524,0.029451964510212196,0.03380907150385684,-0.6073948074993659,0.04864233574660865,0.05036481726665905,0.8628777494704734,0.01261160313557294,0.011652132363602002
J120934+305326,8.75043573,0.43311431,0.86,0.025,12025.005518437003,11680.754580302711,11417.503862905902,8.116373524788962,0.015794118919214766,0.024545635795952404,-0.6183583999449601,0.03292217118916098,0.03201136285630048,0.7728265765677539,0.01118961246920058,0.01303950050251321
J124423+021540,9.09853672,0.43056876,1.293,0.017,12322.90289865434,11928.009405883102,11626.032029058037,8.150563084744375,0.017359240391278563,0.01992790705312655,-0.6144908371066762,0.03418168121999599,0.029039168619893703,0.7588774975514836,0.011944523479785462,0.01191995921583601
J124619+444902,8.89092643,0.42808793,1.553,0.017,14044.061484581396,13356.571032202559,12830.843039206977,7.963243566666733,0.01951635702913814,0.025278762129101417,-0.5954501256702073,0.03620318455026146,0.040412642903322187,0.7559820848501744,0.015246628082999363,0.013876187966517272
J124835+123403,8.74988033,0.42784858,1.473,0.019,12452.015632214747,12035.17297473824,11716.410942550323,8.145413886410584,0.025081533450231216,0.033232282524138936,-0.6204218776033004,0.045198600804314794,0.04479994729403643,0.756180172923233,0.01912740616691717,0.019777786186673987
J132633+421824,8.69199897,0.42953973,1.253,0.023,11270.983361642691,11054.916190163432,10889.688353149882,8.238002769704808,0.021917571210328012,0.03042229600749506,-0.6140316755961466,0.043392661077902,0.04949790349206697,0.7480244064825149,0.01697339741682545,0.01779481204864201
J141013+434435,8.71532652,0.42525556,1.348,0.023,13961.567863100287,13288.101326373237,12773.0975041702,8.02603696629573,0.02444795735660145,0.03923097253295183,-0.6530584767147765,0.0497730046677698,0.04701750602018374,0.8810222389898126,0.010415075381593879,0.010729880744656122
J144010+461937,9.5461809,0.43060833,1.278,0.023,11644.256719254627,11364.73307698134,11150.979703478239,8.174094272099081,0.01864465488933701,0.02333244339760308,-0.5285805309543892,0.04139607708168273,0.04227679651764551,0.603583101278754,0.020157535833489077,0.021316686754192533
J151707+370512,8.962186,0.42883653,1.558,0.02,10074.673137018477,10061.978703725335,10052.271195912934,8.341399529940972,0.019920531301095102,0.02575240854967055,-0.6446396885386471,0.040302948363888064,0.04617446017648127,0.6860920606505745,0.018900481517766455,0.01705438891468948
J155945+403325,8.53198206,0.42745431,1.508,0.021,12440.734938958238,12025.809999335337,11708.514457270765,8.11300129047094,0.024173663876114245,0.030195396535680683,-0.6203768630462042,0.04904758699446501,0.04879981962357343,0.7381822266132978,0.0186417404892244,0.02003277379379663
J160437+081959,8.92959392,0.42555646,1.025,0.025,12894.188952112323,12402.176830253227,12025.932266478625,8.125385064885888,0.04932250497065458,0.06435828765837998,-0.6737348457417571,0.08768030301911552,0.08353052651200975,0.8373723331427533,0.025437203998317257,0.02371750570824937
J164607+313054,8.51596917,0.42598512,1.34,0.043,12859.17687175749,12373.116803558716,12001.423810230242,8.08161434864229,0.03916124810104835,0.05624467684954895,-0.6248844046393751,0.07501642209507564,0.08117088747729104,0.7918775132052707,0.027611220235345197,0.029269864040541157
