galaxy,mass,mass_err,sfr,sfr_err,T_e_o_iii,T_e_s_iii,T_e_o_ii,Z,Z_err_up,Z_err_down,log_Ne_O,log_Ne_O_err_up,log_Ne_O_err_down,ion_param,ion_param_err_up,ion_param_err_down
J0925+1403 ,8.380211241711606,0.13028834457097555,1.39,0.023,13679.73674913785,13054.181501784415,12575.815724396494,7.994556659674417,0.0256468474275082,0.03044113684951689,-0.6373200938964172,0.046879711916638866,0.04615375225527726,0.8181465463038724,0.014591549884067303,0.013494032995359432
J003601+003307,8.75370966,0.42505657,1.184,0.024,16041.924501562851,15014.797336297166,14229.347151093994,7.768140324519944,0.02370406905137255,0.04014032002238997,-0.6329663551396346,0.04304585493756755,0.04639940244516073,0.8964204804799648,0.008085739811060437,0.008917056387269912
J004743+015440,9.20343368,0.43009624,1.336,0.024,13974.227578560507,13298.60889020522,12781.959304992355,7.966128835459776,0.021899329720476354,0.030388890418787416,-0.5972110868491791,0.043886737682078146,0.04293891766193196,0.7524830887217279,0.01817449507907295,0.018793542419975946
J012910+145935,9.15404832,0.30524857,1.125,0.026,12261.819039690037,11877.309802942731,11583.273327783025,8.05013155763104,0.028223998939660697,0.03142223995815792,-0.586626455906519,0.05683495864685822,0.05797057828566986,0.5992421146999081,0.031273658127638104,0.02839783906653139
J072326+414608,9.54079957,0.38292368,0.932,0.03,12189.413194087507,11817.21295109263,11532.589235861255,8.088575696808734,0.03280099587044687,0.04763894543142921,-0.6551192340075825,0.06287278062290036,0.06057706897879274,0.750630411080283,0.025111004018160823,0.025125902091513972
J091207+523960,10.2560465,0.42733784,1.113,0.019,11670.67088060627,11386.656830903205,11169.469616424389,8.154130860286836,0.018542152953394432,0.01644323518865128,-0.5196678447975993,0.04235482375734534,0.04589541954051706,0.4709127763389659,0.02124625629184624,0.019362237882784218
J091208+505009,8.83560189,0.3568951,1.142,0.025,11825.058909682957,11514.798895036854,11277.54123677807,8.163712023347976,0.026690769308803115,0.033620505046261184,-0.6115804537555121,0.05136568663800592,0.05412241753810537,0.7207609914070572,0.021392923961091933,0.022249312112006366
J095838+202508,10.7615769,0.42650956,0.979,0.044,15467.255517028703,14537.822079133823,13827.078861920092,7.87058948213088,0.02350398498911978,0.030996045444672275,-0.5387845564247863,0.049054182436614586,0.047229906409350715,0.7423272629470272,0.020876180343837265,0.018167189164259964
J103344+635317,9.13318444,0.42798868,1.194,0.021,11301.671218188354,11080.387111096334,10911.169852731848,8.228228284016229,0.02340512712151192,0.032262934831160404,-0.5978893903200252,0.04923496535574134,0.05147499750117669,0.7628883064022441,0.017475103090624805,0.019322024178454775
J110452+475204,8.28900037,0.41854343,1.479,0.025,13246.594050585314,12694.67306198581,12272.615835409719,8.06412349734974,0.033645385204442636,0.03312239100434092,-0.5475457712340299,0.06434732396420959,0.0631358765579419,0.6802937920967231,0.031209003129994754,0.02746647781122656
J112224+412052,8.28199627,0.42282651,0.68,0.035,16861.863612637975,15695.346798489518,14803.304528846582,7.769797166404502,0.023970575299375588,0.035050056721950176,-0.6893748062417091,0.04548559826597667,0.046732279335723464,0.883601769673789,0.00979303351568837,0.009589637796580546
J112848+524509,9.17528016,0.42947418,0.931,0.023,16195.31796006577,15142.113906854587,14336.722572046037,7.83823141167258,0.030122128153585948,0.03179762607923371,-0.5046863012507576,0.06827959775192835,0.06144554545605193,0.6100304060272845,0.03259417165020366,0.030839802876708743
J112933+493525,8.3563814,0.41102363,0.928,0.031,12806.836926083124,12329.674648648992,11964.785848258187,8.099338782592326,0.03845078584085214,0.055822201074172295,-0.6386384447797457,0.07511801708863315,0.07604268406420517,0.7638065243666174,0.03219229748444203,0.02972976293407882
J113304+651341,9.64675776,0.3825623,0.704,0.04,14171.927530970173,13462.699850705243,12920.34927167912,7.956488575213667,0.021906868791959598,0.029203885929167974,-0.6308720401068686,0.044364508814644536,0.04853503532934819,0.7700921675970795,0.015568485843681994,0.01839756937986449
J115959+382422,8.25285602,0.42275056,0.91,0.024,16335.366004558071,15258.3537837832,14434.75620319065,7.814133402349524,0.025904687687119756,0.038377799772298625,-0.6068010129361174,0.049546604813185804,0.049612554361819355,0.8628777494704734,0.01260880704069829,0.012101602125531756
J120934+305326,8.75043573,0.43311431,0.86,0.025,12025.005518437003,11680.754580302711,11417.503862905902,8.116373524788962,0.019010324902225324,0.020897357918518055,-0.6097696163443398,0.03518209411154485,0.030974239620940782,0.7728265765677539,0.0131927068405484,0.011958869044890142
J124423+021540,9.09853672,0.43056876,1.293,0.017,12322.90289865434,11928.009405883102,11626.032029058037,8.150563084744375,0.015292947620484354,0.025533442935496486,-0.6051766635664627,0.03164723093619475,0.035313368866236275,0.7588774975514836,0.01145311416286973,0.01348480013323135
J124619+444902,8.89092643,0.42808793,1.553,0.017,14044.061484581396,13356.571032202559,12830.843039206977,7.963243566666733,0.020319909861303994,0.026211630263380605,-0.5860122479513008,0.04071738051261954,0.03969488115224902,0.7559820848501744,0.01531876542270556,0.015053092877104001
J124835+123403,8.74988033,0.42784858,1.473,0.019,12452.015632214747,12035.17297473824,11716.410942550323,8.145413886410584,0.024760328220604293,0.03499201660992306,-0.6109921584686437,0.046302357652141794,0.05007350781520832,0.756180172923233,0.018352404538071635,0.019324359358440405
J132633+421824,8.69199897,0.42953973,1.253,0.023,11270.983361642691,11054.916190163432,10889.688353149882,8.238002769704808,0.023883362053795994,0.03351789400239546,-0.5639808530757895,0.043446838123540894,0.048167280451507276,0.7480244064825149,0.01810269822984595,0.0181509936802038
J141013+434435,8.71532652,0.42525556,1.348,0.023,13961.567863100287,13288.101326373237,12773.0975041702,8.02603696629573,0.028877751654812055,0.038239659005169645,-0.6541249007510571,0.048168810646520864,0.04298679634869583,0.8810222389898126,0.010580862028863526,0.012392315018238126
J144010+461937,9.5461809,0.43060833,1.278,0.023,11644.256719254627,11364.73307698134,11150.979703478239,8.174094272099081,0.018684321206580874,0.02577256992985987,-0.526672761636698,0.03855647175640788,0.04259109960531226,0.603583101278754,0.020947830223601555,0.02267273678421542
J151707+370512,8.962186,0.42883653,1.558,0.02,10074.673137018477,10061.978703725335,10052.271195912934,8.341399529940972,0.018776306363550828,0.030779960415377255,-0.5705399070413465,0.04034567014608392,0.04777534775329975,0.6860920606505745,0.017476304133770396,0.021252275315325354
J155945+403325,8.53198206,0.42745431,1.508,0.021,12440.734938958238,12025.809999335337,11708.514457270765,8.11300129047094,0.027211710849819416,0.03569802066346736,-0.610394700946313,0.05001696394832417,0.051139401473987815,0.7381822266132978,0.021909009279593293,0.01936095934861181
J160437+081959,8.92959392,0.42555646,1.025,0.025,12894.188952112323,12402.176830253227,12025.932266478625,8.125385064885888,0.04851754955509693,0.06425507874295935,-0.6706028407721981,0.08060932484724923,0.07634229468686943,0.8373723331427533,0.024910491285697358,0.024293962994668263
J164607+313054,8.51596917,0.42598512,1.34,0.043,12859.17687175749,12373.116803558716,12001.423810230242,8.08161434864229,0.04539979627632325,0.04772223020000264,-0.6176015066781229,0.08206560485193225,0.08453470081058194,0.7918775132052707,0.03062766074774121,0.026689531316674637
