galaxy,mass,sfr,T_e_o_iii,T_e_s_iii,T_e_o_ii,Z,Z_err_up,Z_err_down,log_S_O,log_S_O_err_up,log_S_O_err_down,log_Ar_O,log_Ar_O_err_up,log_Ar_O_err_down,log_Ne_O,log_Ne_O_err_up,log_Ne_O_err_down,log_Fe_O,log_Fe_O_err_up,log_Fe_O_err_down
J0021+0052_APO_SDSS,9.09,1.07,12367.465857955203,11964.996662102818,11657.226100568641,8.14888153390931,0.01031926808555648,0.005992945920803373,,,,-2.147258306483283,0.008642225432055376,0.009384078578344588,-0.4343016089375564,0.013290493125914899,0.011430486011440422,-1.6006402894988978,0.027719309569990327,0.02410881489613946
J0036-3333_VLT_MUSE,9.14,1.01,,,,,,,,,,,,,,,,,,
J0127-0619_VLT_VIMOS,8.74,-0.75,18419.74143140252,16988.38538806409,15893.819001981763,7.563517503049943,,0.00288279175615593,,,,-1.9254109457983373,0.007073213700118057,0.007550867143361658,,,,,,
J0144+0453_MMT,7.65,-0.81,,,,,,,,,,,,,,,,,,
J0337-0502_VLT_MUSE,7.06,-0.32,,,,,,,,,,,,,,,,,,
J0405-3648_VLT_MUSE,6.61,-1.81,,,,,,,,,,,,,,,,,,
J0808+3948_LBT_MODS,9.12,1.26,,,,,,,,,,,,,,,,,,
J0823+2806_APO_SDSS,9.38,1.48,10993.01693375783,10824.204055018998,10695.11185363048,8.243508994536416,0.004256583022111837,0.003080222739729106,,,,-2.1974726537528126,0.010338261597547553,0.010885862236653906,-0.37754169333945004,0.0067455530083243695,0.006103032123253582,-1.4476816250091515,0.025832787792839727,0.027282821629717225
J0926+4427_APO_SDSS,8.76,1.03,14909.794135786862,14075.129132703096,13436.855895050803,7.95992266886623,0.022781735531716238,0.007708723988604955,,,,-2.1881079725914985,0.020519629474086837,0.0234303007396269,-0.4552194334162306,0.01630507322582311,0.0158820496496649,-1.328094202114525,0.12507199942813563,0.12465420655434709
J0934+5514_Keck_KCWI,6.27,-1.52,20596.679147302613,18795.243692261167,17417.67540311183,7.073848070336661,,0.0014051579755368939,,,,,,,,,,-0.5261607601728123,,
